Structure-core ports,Structure-core ports,Structure-core ports,1000 random port sets,1000 random port sets,1000 random port sets,1000 random port sets,1000 random port sets,1000 random port sets,1000 random port sets,1000 random port sets
Module,by node (%),by link (%),by node (Mean (%)),by node (SD (%)),by node (Max (%)),by node (Min (%)),by link (Mean (%),by link (SD (%)),by link (Max (%)),by link (Min (%))
1,69.0,13.67,14.932342457391744,6.125671006789746,35.11618896587766,1.8584772476744862,0.5582403220848481,0.5516389767785628,3.447595826311449,0.0
2,68.52,13.37,17.101545640500845,8.232757605032075,49.503635346756155,0.13845873565312442,0.7079202194203151,0.8135917851819203,5.136070192959304,0.0
3,85.22,15.39,15.13421759195505,6.402665244823122,38.834225813165816,1.0496321780368472,0.567905960188311,0.559257381320415,3.6032310941122616,0.0
4,73.09,11.77,10.384760051179688,7.567428606218701,42.648056605602406,0.03791128758704631,0.241135577099376,0.4202289553386686,3.1801711510292185,0.0
6,85.21,31.58,16.752346728903085,11.181003995429284,70.54944485470351,0.4092473642843592,0.7072644100435762,1.3698125735188496,9.025579245230157,0.0
7,44.28,4.58,8.384343819148803,4.911573588528874,27.59012856931574,0.02845465362926173,0.1683777486242266,0.27212870948250373,2.556596508585738,0.0
