Capacity,id,Country Code,K,BC,CC,idx,Community,B,Z,P,phi,rho_C,rho_CM
1317335,977,USA,63,0.013473288,0.637554585,146,2,1.3386,1.6707,0.6762,0.886699507,1.20844377,0.357199507
1323163,918,ARE,64,0.017909908,0.640350877,139,2,1.4228,1.6707,0.6797,0.88034188,1.177381293,0.341532764
729253,911,SAU,32,0.002743016,0.561538462,137,2,0.0749,-0.2852,0.6816,0.285639068,1.170788951,0.064545347
1288522,325,USA,64,0.014033286,0.640350877,61,2,1.4228,1.6707,0.6821,0.737556561,1.227057541,0.289374057
474274,226,ESP,29,0.002768069,0.54887218,37,2,-0.0094,-0.5297,0.6825,0.949275362,1.233742627,0.395576087
1064488,910,SAU,45,0.004664373,0.591093117,136,2,0.7488,0.326,0.6904,0.783574879,1.240455536,0.317008696
142888,74,PAN,11,1.17E-05,0.447852761,1,2,-0.7676,-1.63,0.6942,0.39628483,1.233131863,0.119567939
142888,251,ITA,11,1.17E-05,0.447852761,43,2,-0.7676,-1.63,0.6942,0.091440158,1.024297553,0.002927327
574836,301,MAR,45,0.008006741,0.591093117,56,2,0.8331,0.2037,0.6943,0.847619048,1.230140245,0.346285714
1094283,224,MLT,47,0.005076787,0.595918367,36,2,0.8331,0.4482,0.7089,0.836707152,1.246223555,0.346186235
614979,283,EGY,26,0.001115466,0.546816479,52,2,-0.0094,-0.8965,0.7101,0.147078014,1.061297016,0.012783645
1002363,250,ESP,45,0.002931671,0.591093117,42,2,0.7488,0.326,0.7101,0.93,1.21996054,0.381193333
1415520,286,EGY,61,0.012964283,0.632034632,54,2,1.6755,0.9372,0.7304,0.74025974,1.271301652,0.30288961
1153988,909,OMN,49,0.005907013,0.600823045,135,2,1.2543,0.0815,0.748,0.601960784,1.279966346,0.230537535
284892,837,THA,24,0.00111128,0.542750929,125,2,0.1591,-1.3855,0.7708,0.601960784,1.279966346,0.230537535
2072429,144,CHN,57,0.006556455,0.621276596,10,2,2.0125,-0.0407,0.7738,0.88034188,1.177381293,0.341532764
102858,420,JPN,11,0,0.505190311,76,3,-1.3653,-1.0555,0.6281,0.585103785,1.29351564,0.224507692
165876,544,RUS,16,0,0.51048951,95,3,-1.1304,-0.6762,0.6562,0.20583148,1.107346418,0.030828021
165876,567,SWE,16,0,0.51048951,97,3,-1.1304,-0.6762,0.6562,0.39628483,1.233131863,0.119567939
201740,541,POL,12,0,0.503448276,94,3,-1.1304,-1.4348,0.6806,0.147078014,1.061297016,0.012783645
201740,558,DNK,12,0,0.503448276,96,3,-1.1304,-1.4348,0.6806,0.381444099,1.234539431,0.113272283
349595,413,JPN,34,0.001007357,0.565891473,74,3,-0.3473,0.8411,0.699,1,1.173131327,0.381166667
112468,502,FRA,14,0,0.51048951,86,3,-1.0521,-1.2451,0.7041,0.649759348,1.278650064,0.255871159
215802,479,PRT,20,0,0.536764706,83,3,-0.8954,-0.4865,0.71,0.441127695,1.255578213,0.144288557
422846,421,JPN,41,0.002456074,0.581673307,77,3,0.2009,0.8411,0.7234,1,1.199043126,0.395247619
277019,334,CAN,26,0.00085949,0.54887218,63,3,-0.4256,-0.4865,0.7367,0.572004479,1.297137072,0.218402688
1190907,533,DEU,47,0.00271221,0.595918367,93,3,0.4358,1.41,0.7433,0.961904762,1.218723416,0.393147619
1826611,517,GBR,45,0.002422501,0.591093117,90,3,0.3575,1.2204,0.7477,0.798449612,1.231873998,0.322413068
609299,506,BEL,21,8.69E-05,0.523297491,88,3,-0.5822,-1.0555,0.7483,0.306025075,1.178832764,0.073240495
