id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
718,62828,CHL,12,0,0.0745,1.0141,0.001228422
719,430876,CHL,59,0.001466701,0.4205,1.2222,0.122055077
720,321955,CHL,48,0.000594145,0.3074,1.1515,0.065012152
721,97162,CHL,49,0.001531832,0.3212,1.1615,0.071594375
722,211416,CHL,41,0.000857938,0.2504,1.1146,0.041279948
723,1130,CHL,19,0,0.1094,1.0268,0.00404895
724,313318,CHL,51,0.00081485,0.3376,1.1721,0.079372437
725,74081,CHL,36,0.000441185,0.2169,1.0922,0.029232937
726,479,PER,4,0,0.0448,1.0007,3.42E-05
727,8608,PER,21,6.57E-06,0.118,1.0295,0.004988469
728,747362,PER,81,0.003847948,0.6066,1.2593,0.218145828
729,55218,PER,36,0.000756849,0.2169,1.0922,0.029232937
730,1301,PER,5,0,0.0481,1.0015,7.67E-05
731,3325,ECU,10,0.000143413,0.0655,1.0075,0.000576726
732,248095,ECU,86,0.006513689,0.6428,1.2468,0.232790526
733,4188,ECU,13,0,0.0791,1.0151,0.001439895
734,3622,ECU,20,1.60E-06,0.1142,1.0284,0.004563422
735,108188,IND,32,0.000285119,0.1823,1.0665,0.018262882
736,18642,MDV,6,0,0.0501,1.0022,0.00011865
737,2060494,LKA,126,0.00855078,0.8429,1.1952,0.314880952
738,13199,IND,8,1.74E-06,0.0558,1.0035,0.000218826
739,1542,IND,4,0,0.0448,1.0007,3.42E-05
740,1350,IND,2,0,0.0411,1.0001,5.19E-06
741,245184,IND,53,0.003679606,0.3586,1.1825,0.089174452
742,30529,IND,17,7.41E-05,0.0974,1.0219,0.002817912
743,42201,IND,13,1.53E-06,0.0791,1.0151,0.001439895
744,1350,IND,2,0,0.0411,1.0001,5.19E-06
745,62038,IND,23,0.00073506,0.1262,1.034,0.006221646
746,1277951,IND,106,0.002548882,0.7641,1.2171,0.285444082
747,224,IND,4,0,0.0448,1.0007,3.42E-05
748,433014,IND,41,0.000249836,0.2504,1.1146,0.041279948
749,164223,IND,36,0.000206605,0.2169,1.0922,0.029232937
750,30330,IND,7,0,0.0538,1.0031,0.000179449
751,101450,BGD,24,0.000707642,0.1298,1.0364,0.00684506
752,15759,BGD,4,0,0.0448,1.0007,3.42E-05
753,31047,IND,10,0.000155081,0.0655,1.0075,0.000576726
754,918340,IND,89,0.002691641,0.6629,1.2311,0.238854244
756,862879,PAK,78,0.005337963,0.5968,1.2721,0.216192509
757,1139,IDN,10,0,0.0655,1.0075,0.000576726
759,4055,IDN,11,3.74E-06,0.0691,1.0093,0.00076044
764,5329,TLS,12,1.58E-05,0.0745,1.0141,0.001228422
766,126195,IDN,37,0.000555328,0.2269,1.0999,0.032800825
767,60661,IDN,31,0.000794025,0.1737,1.058,0.015588794
769,370469,IDN,92,0.005423341,0.6798,1.2342,0.248308458
770,2794,IDN,4,0,0.0448,1.0007,3.42E-05
771,12533,IDN,13,1.45E-05,0.0791,1.0151,0.001439895
772,6103,IDN,6,0,0.0501,1.0022,0.00011865
776,7242,IDN,13,1.44E-05,0.0791,1.0151,0.001439895
777,1139,IDN,10,0,0.0655,1.0075,0.000576726
778,22841,IDN,6,5.48E-06,0.0501,1.0022,0.00011865
781,1139,IDN,10,0,0.0655,1.0075,0.000576726
784,16406,IDN,5,0,0.0481,1.0015,7.67E-05
789,16406,IDN,9,0,0.062,1.0063,0.000442898
790,1139,IDN,10,0,0.0655,1.0075,0.000576726
794,7713387.5,SGP,262,0.060778545,1,1.0752,0.2727
795,3097270,MYS,170,0.016126948,0.9935,1.204,0.379418301
796,81170,MYS,49,0.001237137,0.3212,1.1615,0.071594375
797,2140,IDN,4,0,0.0448,1.0007,3.42E-05
798,9645,MYS,15,9.52E-05,0.0898,1.0189,0.002169925
801,24450,MYS,22,0.000369854,0.1221,1.0324,0.005649549
802,3470068,MYS,179,0.019984129,1,1.153,0.347217949
803,57671.5,MYS,25,0.000202016,0.1339,1.0384,0.00750745
804,16406,IDN,9,0,0.062,1.0063,0.000442898
806,22420,IDN,8,5.97E-07,0.0558,1.0035,0.000218826
807,25876,MYS,21,2.03E-05,0.118,1.0295,0.004988469
808,22380,MYS,21,0.000309625,0.118,1.0295,0.004988469
809,5768,MYS,13,3.88E-05,0.0791,1.0151,0.001439895
810,22385.5,BRN,22,0.000239616,0.1221,1.0324,0.005649549
811,1083,MYS,9,0,0.062,1.0063,0.000442898
