id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
554,1330,SWE,4,0,0.0439,1.0011,5.26E-05
556,25293,GBR,12,9.65E-06,0.0783,1.024,0.002177838
557,29247,SWE,29,0.000112598,0.2003,1.117,0.029873117
558,239660,DNK,45,0.004962266,0.3466,1.2116,0.091601552
560,20164,SWE,26,0.000224627,0.1771,1.0972,0.022098415
562,17695,LVA,13,1.45E-05,0.0848,1.0269,0.002729308
563,4255,DNK,16,0.010189876,0.103,1.0405,0.005147095
564,1816,SWE,7,0,0.0552,1.0058,0.000355835
565,830,GBR,3,0.004722537,0.0404,1.0007,2.90E-05
567,187375,SWE,39,0.002890909,0.301,1.2035,0.073058082
569,21371,NOR,39,0.00027611,0.301,1.2035,0.073058082
572,1398,NOR,15,0,0.0976,1.0344,0.004172704
573,7156,SWE,9,3.86E-06,0.0623,1.0088,0.000640648
574,508,SWE,4,0,0.0439,1.0011,5.26E-05
575,3892,NOR,20,0,0.1334,1.0595,0.010272295
576,1398,NOR,15,0,0.0976,1.0344,0.004172704
577,8974,NOR,34,0.000108404,0.2577,1.1676,0.052968122
578,312,GBR,2,0,0.0382,1.0002,6.06E-06
579,21357,NOR,32,0.000167468,0.2377,1.1473,0.043967421
580,4208,NOR,14,2.71E-06,0.0926,1.0315,0.003570818
582,12640,NOR,17,0,0.1146,1.0469,0.00681053
583,12640,NOR,17,0,0.1146,1.0469,0.00681053
584,22386,NOR,34,0.000481274,0.2577,1.1676,0.052968122
587,15260,SWE,17,0.000130702,0.1146,1.0469,0.00681053
589,8112,NOR,29,0.001138492,0.2003,1.117,0.029873117
590,21070,NOR,32,0.000167468,0.2377,1.1473,0.043967421
591,23755,EST,17,2.63E-05,0.1146,1.0469,0.00681053
593,36178,RUS,20,0.000419521,0.1334,1.0595,0.010272295
594,1398,NOR,15,0,0.0976,1.0344,0.004172704
595,3374,NOR,20,0,0.1334,1.0595,0.010272295
596,1908,NOR,8,1.18E-05,0.0579,1.0073,0.000474727
598,4772,NOR,26,1.78E-05,0.1771,1.0972,0.022098415
599,142127,RUS,48,0.002439636,0.3709,1.2191,0.102829291
600,21475,NOR,30,0.000121996,0.2098,1.1229,0.032984344
601,4772,NOR,26,1.78E-05,0.1771,1.0972,0.022098415
602,5304,RUS,15,1.22E-05,0.0976,1.0344,0.004172704
603,312,GBR,2,0,0.0382,1.0002,6.06E-06
604,41754,FIN,22,0.000470701,0.1445,1.0671,0.012669243
605,2260,NOR,16,1.27E-06,0.103,1.0405,0.005147095
606,9492,NOR,29,0.001138492,0.2003,1.117,0.029873117
609,36778,FIN,17,8.41E-06,0.1146,1.0469,0.00681053
611,14415,SWE,14,9.46E-06,0.0926,1.0315,0.003570818
612,3340,NOR,5,0,0.0484,1.0027,0.00014033
614,19216,FIN,25,0.000118768,0.1667,1.085,0.018534148
615,1599,FRO,7,0,0.0552,1.0058,0.000355835
616,509,FIN,3,0,0.0404,1.0007,2.90E-05
617,6714,NOR,23,0.001097374,0.1515,1.0728,0.014424364
619,3340,NOR,5,0,0.0484,1.0027,0.00014033
620,6152,NOR,26,1.78E-05,0.1771,1.0972,0.022098415
621,6867,FRO,14,0.007098401,0.0926,1.0315,0.003570818
624,1602,SWE,4,0,0.0439,1.0011,5.26E-05
625,9492,NOR,34,0.000108404,0.2577,1.1676,0.052968122
627,3340,NOR,13,0,0.0848,1.0269,0.002729308
630,3374,NOR,20,0,0.1334,1.0595,0.010272295
631,6714,NOR,28,5.49E-05,0.189,1.1091,0.026179237
632,3415,ISL,10,1.08E-05,0.0658,1.011,0.000849871
633,1398,NOR,15,0,0.0976,1.0344,0.004172704
636,1602,SWE,4,0,0.0439,1.0011,5.26E-05
637,11290,ISL,32,0.015677003,0.2377,1.1473,0.043967421
639,4533,ISL,11,8.03E-06,0.0718,1.0165,0.001386785
641,1736,FIN,5,0,0.0484,1.0027,0.00014033
643,3407,FIN,8,1.98E-05,0.0579,1.0073,0.000474727
644,2934,ISL,7,0,0.0552,1.0058,0.000355835
645,1671,SWE,5,0,0.0484,1.0027,0.00014033
646,2134,ISL,9,0,0.0623,1.0088,0.000640648
647,3407,FIN,8,1.98E-05,0.0579,1.0073,0.000474727
648,3374,NOR,20,0,0.1334,1.0595,0.010272295
649,1671,FIN,5,0,0.0484,1.0027,0.00014033
650,1736,FIN,5,0,0.0484,1.0027,0.00014033
652,2134,ISL,9,0,0.0623,1.0088,0.000640648
653,3374,NOR,20,0,0.1334,1.0595,0.010272295
654,3340,NOR,13,0,0.0848,1.0269,0.002729308
655,3374,NOR,20,0,0.1334,1.0595,0.010272295
656,3374,NOR,20,0,0.1334,1.0595,0.010272295
657,2134,NOR,9,0,0.0623,1.0088,0.000640648
658,1398,NOR,15,0,0.0976,1.0344,0.004172704
659,3290,ARG,5,0,0.0484,1.0027,0.00014033
661,1914,ARG,2,0,0.0382,1.0002,6.06E-06
662,25552,ARG,15,0.000140201,0.0976,1.0344,0.004172704
663,1841,ARG,1,0,0.0367,1,6.87E-16
664,23638,ARG,14,7.30E-05,0.0926,1.0315,0.003570818
665,1118,ARG,5,0,0.0484,1.0027,0.00014033
666,661782,URY,64,0.008135883,0.5483,1.2812,0.198009183
667,819813,ARG,70,0.005621125,0.6138,1.2786,0.231281402
668,34239,ARG,18,7.61E-05,0.1191,1.0496,0.007532079
669,1684,ARG,3,0,0.0404,1.0007,2.90E-05
670,262,URY,1,0,0.0367,1,6.87E-16
671,630427,BRA,69,0.006933039,0.6022,1.2832,0.226252033
672,37448,BRA,17,2.26E-06,0.1146,1.0469,0.00681053
673,427997,BRA,57,0.001863493,0.452,1.2352,0.141586835
674,290918,BRA,40,0.000496995,0.3056,1.2044,0.074904649
675,120943,BRA,31,0.000372401,0.227,1.1352,0.039224686
676,839264,BRA,52,0.001022238,0.4134,1.2398,0.124919935
677,1342,PRY,2,0,0.0382,1.0002,6.06E-06
678,576013,BRA,53,0.001286552,0.427,1.2449,0.132002936
679,1117208,BRA,81,0.003697438,0.7076,1.2934,0.285047065
680,159553,BRA,31,0.000738496,0.227,1.1352,0.039224686
681,322875,BRA,55,0.001134374,0.4446,1.2365,0.138425696
682,40217,BRA,17,7.69E-06,0.1146,1.0469,0.00681053
683,247818,BRA,48,0.000788932,0.3709,1.2191,0.102829291
684,281453,BRA,44,0.000378599,0.3418,1.2071,0.088933482
685,10146,BRA,10,0,0.0658,1.011,0.000849871
686,24043,BRA,21,0.000200181,0.1384,1.062,0.011217188
687,63401,BRA,16,3.77E-05,0.103,1.0405,0.005147095
688,104180,BRA,29,0.000250868,0.2003,1.117,0.029873117
689,1795,BRA,5,0,0.0484,1.0027,0.00014033
690,24660,BRA,8,0,0.0579,1.0073,0.000474727
691,43566,BRA,22,0.000259518,0.1445,1.0671,0.012669243
692,11941,BRA,14,0.00042283,0.0926,1.0315,0.003570818
693,9008,BRA,8,3.20E-05,0.0579,1.0073,0.000474727
696,555270,COL,54,0.001601348,0.4427,1.2386,0.137938106
697,12378,GUF,14,0.000123384,0.0926,1.0315,0.003570818
698,15075,SUR,24,0.000111049,0.1579,1.0785,0.016166854
699,9216,GUY,14,2.12E-05,0.0926,1.0315,0.003570818
700,25432,COL,21,6.64E-05,0.1384,1.062,0.011217188
702,12651,VEN,12,0.000111483,0.0783,1.024,0.002177838
703,654660,COL,119,0.012937645,0.877,1.2394,0.357514113
704,7213,VEN,4,0,0.0439,1.0011,5.26E-05
705,110472,VEN,34,0.00290822,0.2577,1.1676,0.052968122
706,57743,VEN,31,0.00056112,0.227,1.1352,0.039224686
707,7530,VEN,17,0.000179773,0.1146,1.0469,0.00681053
708,8974,VEN,22,5.96E-05,0.1445,1.0671,0.012669243
709,24627,COL,34,0.000315543,0.2577,1.1676,0.052968122
710,47325,COL,27,0.000618725,0.1843,1.1031,0.024373961
711,2275,VEN,9,1.91E-06,0.0623,1.0088,0.000640648
712,1620,VEN,4,0,0.0439,1.0011,5.26E-05
713,649,COL,7,3.56E-05,0.0552,1.0058,0.000355835
714,207129,CHL,35,0.000560282,0.2721,1.1818,0.059740661
717,183853,CHL,30,0.000174225,0.2098,1.1229,0.032984344
718,62828,CHL,12,0,0.0783,1.024,0.002177838
719,426688,CHL,54,0.001754438,0.4427,1.2386,0.137938106
720,314541,CHL,34,0.000281266,0.2577,1.1676,0.052968122
721,91844,CHL,29,0.000664498,0.2003,1.117,0.029873117
722,200944,CHL,34,0.000916239,0.2577,1.1676,0.052968122
724,301716,CHL,31,0.000359402,0.227,1.1352,0.039224686
725,66667,CHL,23,0.000166894,0.1515,1.0728,0.014424364
726,479,PER,4,0,0.0439,1.0011,5.26E-05
727,7478,PER,7,1.18E-06,0.0552,1.0058,0.000355835
728,734744,PER,67,0.003812202,0.5742,1.2691,0.208543705
729,51729,PER,16,0.000306125,0.103,1.0405,0.005147095
731,966,ECU,2,0,0.0382,1.0002,6.06E-06
732,236786,ECU,61,0.005154848,0.5002,1.2482,0.167126007
734,2492,ECU,1,0,0.0367,1,6.87E-16
735,116094,IND,36,0.00177675,0.278,1.1846,0.062127355
736,18642,MDV,6,0,0.0505,1.0037,0.000204506
737,2036514,LKA,116,0.007587181,0.852,1.2234,0.339438503
738,16649,IND,9,9.98E-06,0.0623,1.0088,0.000640648
740,5966,IND,7,1.21E-05,0.0552,1.0058,0.000355835
741,244211,IND,52,0.002265148,0.4134,1.2398,0.124919935
742,30529,IND,17,8.22E-05,0.1146,1.0469,0.00681053
743,42201,IND,13,1.55E-06,0.0848,1.0269,0.002729308
744,2516,IND,5,7.82E-06,0.0484,1.0027,0.00014033
745,61065,IND,22,0.00047988,0.1445,1.0671,0.012669243
746,1249937,IND,90,0.002977825,0.7749,1.2921,0.320931765
747,224,IND,4,0,0.0439,1.0011,5.26E-05
748,433014,IND,41,0.000311978,0.3164,1.2048,0.078914941
749,167673,IND,37,0.0005614,0.2902,1.1893,0.066976432
750,30330,IND,7,0,0.0552,1.0058,0.000355835
751,99908,BGD,23,0.000497545,0.1515,1.0728,0.014424364
752,15759,BGD,4,0,0.0439,1.0011,5.26E-05
753,30074,IND,10,9.23E-05,0.0658,1.011,0.000849871
754,923800,IND,92,0.007633901,0.7849,1.2863,0.324539116
755,3887,IND,4,0,0.0439,1.0011,5.26E-05
756,862879,PAK,78,0.006927032,0.6646,1.2752,0.257562335
757,16241,IDN,16,0.000136329,0.103,1.0405,0.005147095
758,1322,PHL,5,0,0.0484,1.0027,0.00014033
759,30986,IDN,12,0.000382679,0.0783,1.024,0.002177838
760,30357,IDN,9,0,0.0623,1.0088,0.000640648
761,3374,IDN,11,0,0.0718,1.0165,0.001386785
762,1128,PRT,3,0,0.0404,1.0007,2.90E-05
763,3374,IDN,11,0,0.0718,1.0165,0.001386785
764,5329,TLS,12,5.59E-05,0.0783,1.024,0.002177838
765,3374,IDN,11,0,0.0718,1.0165,0.001386785
766,234327,IDN,59,0.019449608,0.4741,1.2432,0.153548515
767,47832,IDN,25,0.00085057,0.1667,1.085,0.018534148
769,419272,IDN,88,0.023638935,0.7736,1.3127,0.325732946
770,2794,IDN,4,0,0.0439,1.0011,5.26E-05
771,15753,IDN,17,0.000200435,0.1146,1.0469,0.00681053
772,97106,IDN,28,0.001030755,0.189,1.1091,0.026179237
773,3374,IDN,11,0,0.0718,1.0165,0.001386785
774,11882,IDN,4,0,0.0439,1.0011,5.26E-05
