iterations,Alpha,pval
247,2.1537,0.271728272
248,2.2425,0.224775225
249,2.2844,0.232767233
250,2.1117,0.156843157
251,2.2595,0.085914086
252,2.187,0.101898102
253,2.1773,0.250749251
254,2.2263,0.053946054
255,2.2144,0.195804196
256,2.1899,0.418581419
257,2.196,0.277722278
258,2.1719,0.250749251
259,2.182,0.161838162
260,2.2276,0.120879121
261,2.1261,0.043956044
262,2.2959,0.01998002
263,2.232,0.226773227
264,2.1712,0.090909091
265,2.1983,0.270729271
266,2.2275,0.535464535
267,2.1324,0.215784216
268,2.2471,0.17982018
269,2.1795,0.40959041
270,2.3361,0.213786214
271,2.1961,0.320679321
272,2.1795,0.177822178
273,2.1673,0.184815185
274,2.2092,0.076923077
275,2.2894,0.46953047
276,2.2431,0.473526474
277,2.1934,0.296703297
278,2.1978,0.522477522
279,2.3181,0.793206793
280,2.305,0.602397602
281,2.2416,0.784215784
282,2.208,0.271728272
283,2.1352,0.155844156
284,2.1988,0.508491508
285,2.1461,0.088911089
286,2.2211,0.537462537
287,2.283,0.411588412
288,2.1076,0.156843157
289,2.2063,0.285714286
290,2.2314,0.333666334
291,2.1689,0.091908092
292,2.1879,0.462537463
293,2.1822,0.041958042
294,2.1536,0.146853147
295,2.1857,0.143856144
296,2.1347,0.103896104
297,2.2758,0.58041958
298,2.1369,0.062937063
299,2.1829,0.105894106
300,2.2324,0.395604396
301,2.2343,0.111888112
302,2.1492,0.158841159
303,2.2596,0.191808192
304,2.1818,0.584415584
305,2.3193,0.157842158
306,2.2876,0.476523477
307,2.2635,0.485514486
308,2.2211,0.037962038
309,2.2086,0.267732268
310,2.2396,0.362637363
311,2.2357,0.406593407
312,2.0778,0.007992008
313,2.2373,0.467532468
314,2.1761,0.1998002
315,2.2721,0.809190809
316,2.2111,0.268731269
317,2.2624,0.321678322
318,2.2337,0.435564436
319,2.2309,0.327672328
320,2.1547,0.126873127
321,2.1545,0.242757243
322,2.2314,0.455544456
323,2.1824,0.48951049
324,2.2715,0.478521479
325,2.2185,0.561438561
326,2.2419,0.207792208
327,2.212,0.393606394
328,2.1542,0.05994006
329,2.287,0.401598402
330,2.1839,0.313686314
331,2.1129,0.10989011
332,2.0997,0.011988012
333,2.1321,0.108891109
334,2.1658,0.391608392
335,2.2503,0.571428571
336,2.2364,0.400599401
337,2.1997,0.368631369
338,2.1269,0.082917083
339,2.1373,0.307692308
340,2.1588,0.364635365
341,2.1897,0.215784216
342,2.194,0.181818182
343,2.1752,0.054945055
344,2.175,0.158841159
345,2.2492,0.040959041
346,2.1437,0.023976024
347,2.1827,0.087912088
348,2.2208,0.604395604
349,2.2117,0.055944056
350,2.133,0.154845155
351,2.1676,0.330669331
352,2.1523,0.120879121
353,2.2334,0.221778222
354,2.2616,0.699300699
355,2.216,0.257742258
356,2.1897,0.323676324
357,2.2949,0.492507493
358,2.2357,0.216783217
359,2.2446,0.694305694
360,2.2287,0.584415584
361,2.1664,0.094905095
362,2.179,0.06993007
363,2.2618,0.101898102
364,2.2484,0.185814186
365,2.1934,0.32967033
366,2.155,0.224775225
367,2.1943,0.278721279
368,2.2747,0.828171828
369,2.1053,0.063936064
370,2.2587,0.473526474
371,2.1389,0.102897103
372,2.2048,0.047952048
373,2.1818,0.277722278
374,2.1667,0.285714286
375,2.2829,0.283716284
376,2.2738,0.722277722
377,2.2271,0.05994006
378,2.1524,0.022977023
379,2.193,0.262737263
380,2.1204,0.125874126
381,2.2804,0.601398601
382,2.2034,0.514485514
383,2.1267,0.104895105
384,2.1596,0.387612388
385,2.2608,0.256743257
386,2.2957,0.392607393
387,2.1724,0.303696304
388,2.2529,0.587412587
389,2.2389,0.420579421
390,2.1579,0.010989011
391,2.2106,0.661338661
392,2.2606,0.703296703
393,2.2153,0.135864136
394,2.2266,0.587412587
395,2.2077,0.347652348
396,2.1632,0.114885115
397,2.2118,0.437562438
398,2.2364,0.412587413
399,2.1597,0.053946054
400,2.1725,0.321678322
401,2.2326,0.395604396
402,2.2037,0.604395604
403,2.194,0.498501499
404,2.2097,0.498501499
405,2.2104,0.123876124
406,2.1114,0.147852148
407,2.1941,0.127872128
408,2.2394,0.567432567
409,2.2057,0.532467532
410,2.2233,0.212787213
411,2.1141,0.151848152
412,2.2435,0.545454545
413,2.2015,0.177822178
414,2.1329,0.037962038
415,2.1695,0.102897103
416,2.1612,0.374625375
417,2.2131,0.205794206
418,2.1343,0.077922078
419,2.1604,0.141858142
420,2.1895,0.0999001
421,2.215,0.076923077
422,2.1751,0.024975025
423,2.2746,0.615384615
424,2.1905,0.313686314
425,2.2735,0.641358641
426,2.2395,0.288711289
427,2.2623,0.564435564
428,2.1914,0.112887113
429,2.1662,0.150849151
430,2.2333,0.230769231
431,2.0928,0.013986014
432,2.2456,0.097902098
433,2.2128,0.27972028
434,2.1918,0.265734266
435,2.1014,0.162837163
436,2.217,0.185814186
437,2.18,0.333666334
