id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
419,133679,JPN,49,0.000159587,0.4117,1.2293,0.116752685
420,235462,JPN,64,0.001175705,0.5692,1.2604,0.195227839
421,931716,JPN,116,0.005622776,0.858,1.1921,0.317674242
422,6220689,KOR,237,0.052636797,1,1.0745,0.281666667
423,4916,KOR,27,0.00066677,0.195,1.0899,0.023443694
424,1281941,JPN,142,0.015140231,0.9412,1.1449,0.324183007
425,1440,JPN,5,0,0.0517,1.0016,9.16E-05
426,103803,KOR,80,0.001116274,0.7345,1.2799,0.284220339
427,37112,JPN,44,0.000157738,0.3613,1.1982,0.090730952
428,13643,JPN,20,1.34E-05,0.1405,1.0515,0.009656301
429,1019375,JPN,118,0.007053002,0.8649,1.1931,0.320612903
431,3819,JPN,30,0,0.2237,1.1096,0.032679196
432,1827,JPN,10,0,0.07,1.0091,0.00075216
433,11691,JPN,28,1.78E-05,0.199,1.0936,0.024770296
434,2537,KOR,9,0,0.0666,1.0069,0.000544233
436,834,KOR,2,0,0.0425,1.0001,3.54E-06
437,18402,KOR,24,0.000197968,0.1672,1.0698,0.01566722
438,4320,JPN,23,0,0.1593,1.0632,0.013605553
439,9806,JPN,37,0.000100536,0.3063,1.1774,0.067407498
440,16939,JPN,48,0.000304782,0.3993,1.2194,0.109723333
442,12854,KOR,8,0,0.0619,1.0053,0.000376924
443,8350,JPN,27,1.46E-05,0.195,1.0899,0.023443694
444,4731,KOR,12,0,0.0804,1.0186,0.001743468
445,12195,JPN,40,0.000150656,0.3294,1.1955,0.078529195
446,198281,KOR,67,0.000570958,0.6006,1.255,0.209437555
447,27236,JPN,57,0.000445649,0.4836,1.2374,0.149758692
448,39827,JPN,48,0.000156212,0.3993,1.2194,0.109723333
449,680,JPN,7,0,0.0587,1.0038,0.000255309
450,68311,KOR,24,0.000183189,0.1672,1.0698,0.01566722
451,3758,JPN,14,0,0.0969,1.0269,0.003220767
452,10938,JPN,42,4.15E-05,0.3438,1.1966,0.083934565
453,5215,JPN,14,8.18E-06,0.0969,1.0269,0.003220767
